key,title,description,issue_type,priority,status,created,updated,resolutiondate,anomaly_class,ml_text,project
SLING-13241,Parent: Update to Bnd 7.3.0,https://github.com/bndtools/bnd/wiki/Changes-in-7.3.0,Improvement,Major,Open,2026-06-18T07:56:29.000+0000,2026-06-18T08:13:08.000+0000,Not resolved,0,parent update to bnd 7 3 0 url improvement major open sling,SLING
SLING-13240,Parent: Move spotless formatting/checking to verify phase,"Currently spotless check/format runs at a very early ([phase: process-sources|https://maven.apache.org/guides/introduction/introduction-to-the-lifecycle.html#default-lifecycle])

That sometimes leads to unexpected issues/interrupting work unnecessarily.
Also with SLING-13125 introducing auto-formatting it leads to formatting sources also in Eclipse with m2e (as incremental build automatically executes plugins up to phase {{{compile}}}).

Therefore execution should be moved to a later phase like `verify` which is skipped in IDEs and can be easily skipped with CLI invocations.

This was discussed in https://lists.apache.org/thread/zq8h1f3wkgnjrbv23lwxvq0qzmvw0o28",Improvement,Major,In Progress,2026-06-18T07:46:24.000+0000,2026-06-18T08:12:04.000+0000,Not resolved,1,parent move spotless formatting checking to verify phase currently spotless check format runs at a very early phase process sources url that sometimes leads to unexpected issues interrupting work unnecessarily also with sling 13125 introducing auto formatting it leads to formatting sources also in eclipse with m2e as incremental build automatically executes plugins up to phase compile therefore execution should be moved to a later phase like verify which is skipped in ides and can be easily skipped with cli invocations this was discussed in url improvement major in progress sling,SLING
CAMEL-23792,camel-endpointdsl - Build java constant classes with all the component header keys,"The components has headers marked up in the xxxConstants.java source file, but its a bit cumbersome to use - you need the java import, you need the JAR on the classpath in the IDE and so on.

When you use type-safe endpoint dsl we can generate a fluent builder for this so you can do

setHeader(headers().kafka().CAMEL_KAFKA_XXX, simple(""xxx""))

or make it a dot

setHeader(headers().kafka.CAMEL_KAFKA_XXX, simple(""xxx""))

 ",Improvement,Major,Open,2026-06-18T07:08:01.000+0000,2026-06-18T07:08:01.000+0000,Not resolved,0,camel endpointdsl build java constant classes with all the component header keys the components has headers marked up in the xxxconstants java source file but its a bit cumbersome to use you need the java import you need the jar on the classpath in the ide and so on when you use type safe endpoint dsl we can generate a fluent builder for this so you can do setheader headers kafka camel kafka xxx simple xxx or make it a dot setheader headers kafka camel kafka xxx simple xxx improvement major open camel,CAMEL
SPARK-57524,Correct SHOW TABLE EXTENDED property formatting,,Bug,Major,Open,2026-06-18T06:55:04.000+0000,2026-06-18T07:10:15.000+0000,Not resolved,1,correct show table extended property formatting bug major open spark,SPARK
UNOMI-947,Incorrect swagger-ui version assignment,"The swagger-ui dependency is statically defined here: https://github.com/apache/unomi/blob/d6918fc488f2b8a4767629e779e5442029e4613b/kar/src/main/feature/feature.xml#L203-L205

While an actual variable is available at the root level: https://github.com/apache/unomi/blob/d6918fc488f2b8a4767629e779e5442029e4613b/pom.xml#L100

The goal of this ticket is to update the project to use the global variable",Sub-task,Major,Open,2026-06-18T06:42:06.000+0000,2026-06-18T06:42:30.000+0000,Not resolved,1,incorrect swagger ui version assignment the swagger ui dependency is statically defined here url while an actual variable is available at the root level url the goal of this ticket is to update the project to use the global variable sub task major open unomi,UNOMI
IGNITE-28796,Add a system view for PluginProvider,"It is proposed to add a new system view for added plugins (org.apache.ignite.plugin.PluginProvider) so that information about them can be obtained without analyzing logs, which may be rotated.

Discussion on the dev list [Add a new system view for plugins|https://lists.apache.org/thread/cj7oz53l3cpk2h1ng4qm0jv618142ttj].

The proposed view name is ""PLUGIN_PROVIDER"" and the columns are:
1. NAME.
2. VERSION.
3. CLASS_NAME.
4. INFO (New method String org.apache.ignite.plugin.PluginProvider#info will be added for this).",Improvement,Major,Open,2026-06-18T06:09:09.000+0000,2026-06-18T06:24:14.000+0000,Not resolved,0,add a system view for pluginprovider it is proposed to add a new system view for added plugins org apache ignite plugin pluginprovider so that information about them can be obtained without analyzing logs which may be rotated discussion on the dev list add a new system view for plugins url the proposed view name is plugin provider and the columns are 1 name 2 version 3 class name 4 info new method string org apache ignite plugin pluginprovider info will be added for this improvement major open ignite,IGNITE
YUNIKORN-3303,Upgrade shellcheck to 0.11 and native arm on darwin,"The shellcheck version is currently set to 0.9 and on darwin uses the x86 version.

The current version of shellcheck is 0.11 and does have a arm (aarch64) version.

In preparation of the next darwin version that no longer has rosetta we need to move the build process.",Task,Major,Open,2026-06-18T05:58:03.000+0000,2026-06-18T05:58:03.000+0000,Not resolved,0,upgrade shellcheck to 0 11 and native arm on darwin the shellcheck version is currently set to 0 9 and on darwin uses the x86 version the current version of shellcheck is 0 11 and does have a arm aarch64 version in preparation of the next darwin version that no longer has rosetta we need to move the build process task major open yunikorn,YUNIKORN
SPARK-57523,Declarative Pipelines should not retry flows that fail due to streaming source changes,,Bug,Major,Open,2026-06-18T05:31:44.000+0000,2026-06-18T07:48:57.000+0000,Not resolved,1,declarative pipelines should not retry flows that fail due to streaming source changes bug major open spark,SPARK
NIFI-16028,"PutElasticsearchJson: support nested field paths for Index, Identifier, and Timestamp fields","The PutElasticsearchJson processor can extract the Elasticsearch index name, document ID, and @timestamp value from a field within each document (via the Index Field, Identifier Field, and Timestamp Field properties added in NIFI-15985). Today those properties only match a top-level field name, so a document that carries this information in a nested object cannot be used as a source. For example, with a document like: \{ ""@metadata"": { ""index"": ""logs-2026"", ""id"": ""abc-123"" }, ""message"": ""..."" } setting Index Field to ""@metadata/index"" currently finds nothing (there is no top-level key literally named ""@metadata/index"") and silently falls back to the configured Index property. Nesting routing/metadata under an envelope such as ""@metadata"" is a common pattern (e.g. coming from Logstash), so users have no way to get the index/id/timestamp from it.",Improvement,Minor,Open,2026-06-18T05:19:25.000+0000,2026-06-18T06:02:07.000+0000,Not resolved,1,putelasticsearchjson support nested field paths for index identifier and timestamp fields the putelasticsearchjson processor can extract the elasticsearch index name document id and timestamp value from a field within each document via the index field identifier field and timestamp field properties added in nifi 15985 today those properties only match a top level field name so a document that carries this information in a nested object cannot be used as a source for example with a document like metadata index logs 2026 id abc 123 message setting index field to metadata index currently finds nothing there is no top level key literally named metadata index and silently falls back to the configured index property nesting routing metadata under an envelope such as metadata is a common pattern e g coming from logstash so users have no way to get the index id timestamp from it improvement minor open nifi,NIFI
HDDS-15599,Follow up clean up from HDDS-15531 PR 10486,A few nits were identified after the Jira was merged and need to be addressed. ,Task,Major,Resolved,2026-06-18T05:12:48.000+0000,2026-06-18T07:22:16.000+0000,2026-06-18T07:21:57.000+0000,0,follow up clean up from hdds 15531 pr 10486 a few nits were identified after the jira was merged and need to be addressed task major resolved hdds,HDDS
PHOENIX-7932,Sweep tests for remaining EXPLAIN improvement issues,"{{GlobalIndexCheckerIT}} family ({{GlobalIndexCheckerIT}}, {{GlobalIndexCheckerEventualIT}}, {{GlobalIndexCheckerEventualGenerateIT}}):
- A functional index match overwrites the index rule. We need to be able to support {{'/* rule, matches <expr> */'}} Disclose both via a new first class {{functionalMatch}} field in {{ExplainPlanAttributes}}. {{recordDecision()}} keeps {{rule}} as reason and records {{functionalMatch = matches(<expr>)}} independently.",Sub-task,Major,Open,2026-06-18T05:10:23.000+0000,2026-06-18T05:44:45.000+0000,Not resolved,0,sweep tests for remaining explain improvement issues globalindexcheckerit family globalindexcheckerit globalindexcheckereventualit globalindexcheckereventualgenerateit a functional index match overwrites the index rule we need to be able to support rule matches expr disclose both via a new first class functionalmatch field in explainplanattributes recorddecision keeps rule as reason and records functionalmatch matches expr independently sub task major open phoenix,PHOENIX
OAK-12268,remove usage oh json-simple,"[https://mvnrepository.com/artifact/com.googlecode.json-simple/json-simple]

last updated 2012.",Task,Major,Open,2026-06-18T04:54:11.000+0000,2026-06-18T04:54:39.000+0000,Not resolved,0,remove usage oh json simple url last updated 2012 task major open oak,OAK
SPARK-57522,Update `Spark Connect`-generated `Swift` source code with `4.2.0-rc3`,,Sub-task,Major,In Progress,2026-06-18T04:43:00.000+0000,2026-06-18T05:09:24.000+0000,Not resolved,0,update spark connect generated swift source code with 4 2 0 rc3 sub task major in progress spark,SPARK
TOMEE-4619,Upgrade opentelemetry-api 1.63.0,|[CVE-2026-45292|https://nvd.nist.gov/vuln/detail/CVE-2026-45292]|5.3|medium|fixed in 1.62.0|2026-05-14 23:41:37 +0000 UTC|[opentelemetry-api_1.32.0|https://otscan.otxlab.net/api/v1/scan/e14f2f51-2734-4bda-a595-0a9e9dcfc427/report/html#sha256:c965d98d2274a7d69140ea0f8f2755be003f41aa374a8099b5394de3a5b2a7e6_opentelemetry-api_1.32.0]|this image|/usr/local/tomee/lib/opentelemetry-api-1.32.0.jar|,Dependency upgrade,Major,Open,2026-06-18T04:31:00.000+0000,2026-06-18T04:31:00.000+0000,Not resolved,0,upgrade opentelemetry api 1 63 0 cve 2026 45292 url in 1 62 0 2026 05 14 23 41 37 0000 utc opentelemetry api 1 32 0 url image usr local tomee lib opentelemetry api 1 32 0 jar dependency upgrade major open tomee,TOMEE
SPARK-57521,SizeEstimator overcounts model size due to model.parent traversing to SparkSession,"In Spark Connect's server-side ML model cache, {{Model.estimatedSize}} uses {{SizeEstimator.estimate(self)}} which traverses the object graph through the model's {{@transient parent}} field. For any estimator that executes DataFrame operations during {{{}fit(){}}}, the parent retains an indirect reference chain to the {{{}SparkSession{}}}/{{{}SparkContext{}}} (shared JVM state which is generally much larger than the model). This causes the size estimate to include the size of the {{{}SparkSession{}}}, which is an overcount since the {{SparkSession}} is there anyway and is not attributable to the addition of this model to the ML cache. The issue can become more severe if several affected models are trained, since the overcount will stack and cause phantom filling of the ML cache limit.

In a simple local environment the SparkSession might be ~300kb (still much larger than the model but not practically important). In complex applications like the Databricks runtime, the SparkSession might be 300-800MB, enough that in some configurations the model training might immediately fail (Databricks serverless max model size is 256M).

Example minimal code to reproduce is attached, showing that on a trivial DataFrame, a {{StringIndexer}} (which needs only a few kb for true model data) will be estimated at 10-100x that size.

Other estimators that perform {{DataFrame}} operations during {{fit()}} are affected, e.g. {{{}CountVectorizer{}}}, {{{}StandardScaler{}}}, {{{}MinMaxScaler{}}}, {{{}IDF{}}}, {{{}Word2Vec{}}}. Those that do not perform DataFrame operations, e.g. {{{}OneHotEncoder{}}}, do not seem to be affected.

SPARK-52229 is similar in spirit and was fixed in a similar way (remove the reference that counts the `sparkSession`). SPARK-14966 is older and has some similarities.",Bug,Major,Open,2026-06-18T03:43:19.000+0000,2026-06-18T04:40:34.000+0000,Not resolved,2,sizeestimator overcounts model size due to model parent traversing to sparksession in spark connect s server side ml model cache model estimatedsize uses sizeestimator estimate self which traverses the object graph through the model s transient parent field for any estimator that executes dataframe operations during fit the parent retains an indirect reference chain to the sparksession sparkcontext shared jvm state which is generally much larger than the model this causes the size estimate to include the size of the sparksession which is an overcount since the sparksession is there anyway and is not attributable to the addition of this model to the ml cache the issue can become more severe if several affected models are trained since the overcount will stack and cause phantom filling of the ml cache limit in a simple local environment the sparksession might be 300kb still much larger than the model but not practically important in complex applications like the databricks runtime the sparksession might be 300 800mb enough that in some configurations the model training might immediately fail databricks serverless max model size is 256m example minimal code to reproduce is attached showing that on a trivial dataframe a stringindexer which needs only a few kb for true model data will be estimated at 10 100x that size other estimators that perform dataframe operations during fit are affected e g countvectorizer standardscaler minmaxscaler idf word2vec those that do not perform dataframe operations e g onehotencoder do not seem to be affected spark 52229 is similar in spirit and was fixed in a similar way remove the reference that counts the sparksession spark 14966 is older and has some similarities bug major open spark,SPARK
SPARK-57520,Fix UTF8String.codePointFrom and copyUTF8String reading past the end of a truncated trailing UTF-8 sequence,,Bug,Major,Open,2026-06-18T03:16:54.000+0000,2026-06-18T05:33:38.000+0000,Not resolved,1,fix utf8string codepointfrom and copyutf8string reading past the end of a truncated trailing utf 8 sequence bug major open spark,SPARK
SPARK-57519,Fix NoSuchElementException in ErrorClassesJsonReader.isValidErrorClass for error classes without sub-classes,,Bug,Major,Open,2026-06-18T02:45:33.000+0000,2026-06-18T03:02:23.000+0000,Not resolved,2,fix nosuchelementexception in errorclassesjsonreader isvaliderrorclass for error classes without sub classes bug major open spark,SPARK
SPARK-57518,ThriftServer DatabaseMetaData getTables/getSchemas do not use DataSource V2 catalogs,"Spark ThriftServer can execute SQL statements against DataSource V2 catalogs, but its JDBC metadata operations still use the V1 SessionCatalog directly. This causes inconsistent behavior for JDBC and BI clients.
h2. Steps to reproduce

1. Start Spark ThriftServer with a DSv2 catalog configured, for example:

 
{code:java}
spark.sql.catalog.mycat=<catalog implementation>
spark.sql.defaultCatalog=mycat{code}
 

2. Connect through JDBC/Beeline or a BI tool.

3. Run SQL statements such as:

 
{code:java}
SELECT * FROM db.table;
SELECT * FROM mycat.db.table;
SHOW TABLES IN mycat.db;{code}
 

These statements can resolve DSv2 catalog objects.

4. Use JDBC DatabaseMetaData APIs through the same connection, for example:

 
{code:java}
DatabaseMetaData.getSchemas(...)
DatabaseMetaData.getTables(...)
DatabaseMetaData.getColumns(...){code}
 
h2. Expected behavior:

JDBC metadata operations should be consistent with SQL name resolution. If a DSv2 catalog is configured and selected explicitly or through spark.sql.defaultCatalog/current catalog, ThriftServer should discover schemas, tables, and columns from that catalog.
h2. Actual behavior:

JDBC metadata operations only reflect objects visible through the V1 SessionCatalog. DSv2 catalog schemas/tables may be queryable via SQL but missing from BI tool schema/table discovery.
h2. Impact:

Some BI and SQL GUI tools rely on JDBC DatabaseMetaData APIs to populate schema and table trees. Users can query DSv2 tables manually, but tools cannot discover them through ThriftServer metadata APIs.
h2. Code pointers:

SparkOperation currently exposes the V1 SessionCatalog:
{code:java}
org.apache.spark.sql.hive.thriftserver.SparkOperation
  final protected def catalog: SessionCatalog = sessionState.catalog{code}
Metadata operations then use that V1 catalog directly:

 
{code:java}
org.apache.spark.sql.hive.thriftserver.SparkGetSchemasOperation
  catalog.listDatabases(...)
{code}
{code:java}
org.apache.spark.sql.hive.thriftserver.SparkGetTablesOperation
  catalog.listDatabases(...)
  catalog.listTables(...)
  catalog.getTablesByName(...){code}
h2. Possible approach:

Make ThriftServer metadata operations DSv2-aware by using CatalogManager and catalog APIs where appropriate:
 * getCatalogs: use catalogManager.listCatalogs
 * getSchemas: resolve the requested catalog and use SupportsNamespaces
 * getTables: use TableCatalog.listTables
 * getColumns: use TableCatalog.loadTable(...).schema
 * preserve existing V1 SessionCatalog behavior for spark_catalog, temp views, and global temp views",Bug,Major,Open,2026-06-18T02:27:52.000+0000,2026-06-18T02:27:52.000+0000,Not resolved,1,thriftserver databasemetadata gettables getschemas do not use datasource v2 catalogs spark thriftserver can execute sql statements against datasource v2 catalogs but its jdbc metadata operations still use the v1 sessioncatalog directly this causes inconsistent behavior for jdbc and bi clients h2 steps to reproduce 1 start spark thriftserver with a dsv2 catalog configured for example code java spark sql catalog mycat catalog implementation spark sql defaultcatalog mycat code block these statements can resolve dsv2 catalog objects 4 use jdbc databasemetadata apis through the same connection for example code java databasemetadata getschemas databasemetadata gettables databasemetadata getcolumns code block metadata operations then use that v1 catalog directly code java org apache spark sql hive thriftserver sparkgetschemasoperation catalog listdatabases code block h2 possible approach make thriftserver metadata operations dsv2 aware by using catalogmanager and catalog apis where appropriate getcatalogs use catalogmanager listcatalogs getschemas resolve the requested catalog and use supportsnamespaces gettables use tablecatalog listtables getcolumns use tablecatalog loadtable schema preserve existing v1 sessioncatalog behavior for spark catalog temp views and global temp views bug major open spark,SPARK
HIVE-29675,Split functions from ObjectStore,,Sub-task,Major,Open,2026-06-18T02:24:47.000+0000,2026-06-18T02:24:47.000+0000,Not resolved,0,split functions from objectstore sub task major open hive,HIVE
HIVE-29674,Split catalog and database from ObjectStore,,Sub-task,Major,Open,2026-06-18T02:23:43.000+0000,2026-06-18T02:23:43.000+0000,Not resolved,0,split catalog and database from objectstore sub task major open hive,HIVE
HIVE-29673,Split table constraints from ObjectStore,,Sub-task,Major,Open,2026-06-18T02:22:58.000+0000,2026-06-18T02:22:58.000+0000,Not resolved,0,split table constraints from objectstore sub task major open hive,HIVE
